price_date,year,month,rice_NGN,beans_NGN,garri_NGN,yam_NGN
2021-12-01,2021,12,586.4292307692308,1268.9411764705883,310.96384615384613,785.030303030303
2022-01-01,2022,1,593.3515384615384,1379.1764705882354,314.66615384615386,743.2121212121212
2022-02-01,2022,2,608.0584615384615,1397.9411764705883,317.4015384615385,766.5151515151515
2022-03-01,2022,3,612.3669230769231,1418.5294117647059,316.5492307692308,839.3372727272728
2022-04-01,2022,4,615.7553846153846,1427.1176470588234,318.04692307692306,817.7384848484849
2022-05-01,2022,5,614.6769230769231,1446.5882352941176,327.0846153846154,920.7084848484849
2022-06-01,2022,6,638.8784615384616,,333.37307692307695,1143.06
2022-07-01,2022,7,652.9076923076923,,325.7523076923077,1201.6394117647058
2022-08-01,2022,8,664.8630769230768,,310.1823076923077,963.8111764705883
2022-09-01,2022,9,700.0315384615385,,312.9,929.6258823529413
2022-10-01,2022,10,741.036923076923,,312.5069230769231,976.6652941176471
2022-11-01,2022,11,754.2861538461538,,318.77076923076925,1021.674705882353
2022-12-01,2022,12,766.5638461538462,,322.75,1009.8552941176471
2023-01-01,2023,1,770.9407692307692,,321.58769230769235,1049.9411764705883
2023-02-01,2023,2,763.4684615384615,974.125,326.90538461538466,664.375
2023-03-01,2023,3,780.5853846153847,998.6875,341.0507692307692,700.1875
2023-04-01,2023,4,786.6569230769231,1159.0625,351.1030769230769,714.875
2023-05-01,2023,5,786.4876923076923,1247.3125,365.45923076923077,743.0625
2023-06-01,2023,6,817.0999999999999,1245.1889999999999,410.61769230769227,1175.3723333333332
2023-07-01,2023,7,855.7407692307693,1344.6703846153846,444.39538461538456,1408.0351999999998
2023-08-01,2023,8,951.5823076923077,1430.3039999999999,465.48230769230764,1707.5195652173911
2023-09-01,2023,9,984.2053846153847,1455.7685714285712,478.49923076923073,1622.5633333333333
2023-10-01,2023,10,1035.3861538461538,1627.0906451612902,501.9015384615385,1622.4316129032256
2023-11-01,2023,11,1125.3500000000001,1706.182380952381,519.2123076923077,1667.264285714286
2023-12-01,2023,12,1207.8884615384616,1882.8425,532.3353846153846,1910.4675
2024-01-01,2024,1,1312.4653846153847,2642.0047999999997,571.0038461538462,1965.12375
2024-02-01,2024,2,1527.0275000000001,2535.938947368421,680.2784615384616,1956.8305
2024-03-01,2024,3,1709.7409090909093,2950.2155555555555,771.8276923076924,2206.3431578947366
2024-04-01,2024,4,1706.2366666666667,3227.4790909090907,852.5938461538461,2419.667
2024-05-01,2024,5,1846.92,4125.029473684211,1054.936923076923,2751.2549999999997
2024-06-01,2024,6,1972.2241666666669,5104.122,1125.5130769230768,2921.9352631578945
2024-07-01,2024,7,2061.1583333333333,5282.334,1107.9161538461537,3313.778
2024-08-01,2024,8,2142.334166666667,5381.9169999999995,1106.8546153846155,3613.871
2024-09-01,2024,9,2217.775833333333,5944.3721875,1120.146923076923,3081.636129032258
2024-10-01,2024,10,2482.422857142857,4434.345454545454,1199.142857142857,3286.5970967741937
2024-11-01,2024,11,2497.118571428571,4003.2924,1209.3014285714287,3025.34
2024-12-01,2024,12,2507.563333333333,3766.373870967742,1056.6307692307694,3330.9043333333334
2025-01-01,2025,1,2370.8258333333333,3578.8212121212123,1099.1753846153847,3305.586875
2025-02-01,2025,2,2558.0057142857145,3525.7068,1271.56,3274.865652173913
2025-03-01,2025,3,2674.2342857142858,3076.0917647058823,1357.3528571428571,3178.746
2025-04-01,2025,4,2572.827142857143,2967.064,1341.892857142857,3093.021111111111
2025-05-01,2025,5,2603.3728571428574,2862.855,1338.4771428571428,3523.5984615384614
2025-06-01,2025,6,2629.1785714285716,2712.875,1299.4785714285715,3451.732
2025-07-01,2025,7,2645.0257142857145,2681.465263157895,1260.6328571428571,3786.245
2025-08-01,2025,8,2358.964285714286,2580.5041666666666,943.8985714285715,3568.4009523809523
2025-09-01,2025,9,2318.5985714285716,2464.5634375,885.0271428571428,3121.9159999999997
2025-10-01,2025,10,2250.497142857143,2230.038888888889,857.2285714285715,2956.5175757575757
2025-11-01,2025,11,1970.0459999999998,2075.992368421053,714.41,2961.5425
2025-12-01,2025,12,1962.2279999999998,1821.715,682.4736363636364,2791.930625
2026-01-01,2026,1,1961.0439999999999,1697.4536363636364,668.4136363636363,2719.8035483870967
2026-02-01,2026,2,1972.4630000000002,2219.161851851852,674.56,2843.5055555555555
2026-03-01,2026,3,1966.182,2468.1965384615387,679.5763636363637,2891.3711538461534
2026-04-01,2026,4,,2200.0,,4000.0
